id,resource_state,name,climb_category,climb_category_desc,avg_grade,start_latlng,end_latlng,elev_difference,distance,points,starred,elevation_profile,local_legend_enabled,classification
5591478,2,Zacualtitla (Camino a Pastortitla) Climb,0.0,NC,7.2,"[19.203642, -98.978544]","[19.199507, -98.979456]",40.7,567.1,wuetB|vb{QJQHEx@f@JVB`@N`@PRz@jBXRVL`@FH?v@m@\CTJXFb@?ZCtAm@^CjAHb@ArBS,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/XQ3OQSCS2MGYBDSLELLZ2DEZEEFLCVGFOICLESP2SFIU4YZR274KUMGZGX46JQCZXJ5NLZCKOAOXYCHLAWADOFA=,True,other
30190342,2,rumbo laberinto 2,0.0,NC,2.5,"[19.226841, -99.225924]","[19.227761, -99.222505]",9.7,392.9,wfjtB`as|QBC?UMIEa@OUEOB_@EUGOGq@ISAOBQIUQYGa@I{@@q@D[ASMQEQC_@c@q@Sk@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/MJPEMSA2S5NLPDTLODJT2INHFWSWF3TKYIZT5UKKOS2FHRZXVB44NPEY4XKDT5ADBJZ5EMVS57VC2CVTMVMVB77F,True,other
30190334,2,rumbo al laberinto,0.0,NC,1.1,"[19.225513, -99.21259]","[19.228464, -99.22101]",20.9,981.5,m~itBtmp|QOl@GHQ`@ARIXS`@UfBa@tAQP]r@W^s@l@]f@c@`@k@nAId@OZER[j@A\Mp@?ZEV?RDb@EhAWr@OnBo@vBO\ORI`@MVAh@@RAd@Cj@EFAh@@JHT@H,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/3GR2K6FGUZSHEDNK6IDJVIBYTEIUHXTVEGNHLNECQUTACE6IU7MJ2QKFBWLOVPETIFRGL34O6H4SFCFHKI45VGCD,True,other
24338538,2,Agua Cristalina a Cima Salsipuedes,0.0,NC,10.4,"[19.245265, -99.190225]","[19.244108, -99.194641]",54.2,520.6,{ymtB|al|Q^V`@PLJJRH`@HLDZAXHbAAh@|@vAX`ABZKn@IJ?RANGTMNKTGXDXPd@Pp@v@lABHAFQV,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/4CKEF2UL3QETERXKQYFA2KKI4AYHNN77VGM4NXPXJKTLFFVFLG3LEC62VAIB7ZXOVWSE2OPDF2I6FSNE2ILPXRGQ,True,other
19786061,2,Zetas,1.0,4,16.2,"[19.251112, -99.196845]","[19.249219, -99.196292]",100.4,618.8,m~ntBhkm|Qf@aA^e@b@o@L_@Ae@DYBEDBLf@Vt@Gn@QNCLINCL@FB@PYZSLMVk@Lo@FGFEDFGR?VFjAGLAVBRDFD?HGRWDK?GB@NO@@F^B?Ti@FILEAEDC,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/P5KNHXQQ3XPJMU4UM6SC6TGMOJ6LPFJ5ZRINMU6AZ2AQVEGAKU2DHKXTTOQZJCGPVSSJYTBEU5LFOPCX45XMTJA=,True,other
18520531,2,Rover del puente clavelito a la Mexico ajusco,2.0,3,9.7,"[19.249997, -99.174572]","[19.234186, -99.174629]",209.4,2155.1,mwntBb`i|Qr@LfAt@ZLh@Hj@E\Vh@H~Ah@hAj@b@HVAHCHOp@gCz@yBv@qAb@_@^UvA_@n@G`ABfCTd@?b@Kh@[TIn@Gp@@pBd@R@JENOXm@JOFENCZDzA^R?JGHULeBFYJWXMz@KfAWjB]PCTHh@l@\PLLMdCUnB@`@LH|A^f@Bf@JbAJt@Dv@XPBxCFNFl@`@f@Lb@@hAIj@?r@FXFT@bAJt@@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/I5TFHGV2J3A2YRVDAKC4P7HK6GPJO374CEFRXRYQLBLSWBDGG4EGCQ2NJWMU6ZWPFQAQHKJDIUIKBAPUBNIG5VYT,True,other
3614771,2,a. Cda. José González V. Climb,1.0,4,4.9,"[19.2336738, -99.1819436]","[19.2295832, -99.1958788]",99.4,2043.8,mqktBdnj|QYTk@l@Qt@B\RnARdBKj@a@Xu@TYRQp@D`@xBvGTx@Bl@K^]^_C`As@p@eB|De@z@sAxAc@p@Ol@?t@Lh@X\b@\hErArBh@hBj@z@\pBfAtAdA`JbJr@z@x@nAjAzB^fAP`A,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/QGVANLHSEAOWVU42R2S5JS5KURQ43HLVEEZC7JSUKSCCKWNXBIRSYLDFE3TORGYZUQPXZOYKLTPYQYCPXLWXQPI=,True,other
24429656,2,Árbol Agua Cristalina a Caballerizas Rey,0.0,NC,8.8,"[19.25011, -99.185398]","[19.24756, -99.188827]",38.4,433.6,exntBvck|Q@Lb@\`AfBVTb@zALXNPFNLPv@n@`@f@l@n@lAdAb@d@HRB^\p@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/72KZVV6CD5RERSKY7CIDVD7OGHXA6AWGT66NUC7MQPI6JZN5M2EYBNPD7LYMOBSZ2NDVJVUUSVI7BI5LRG4JM5W2,True,other
19660806,2,Tepetetla-Zoquiaqui,0.0,NC,32.7,"[19.248156, -99.143371]","[19.248827, -99.141767]",67.4,206.0,}kntBb}b|QC[IY?MGEEWBMEM?OKG@MGMMIIa@KCCG?KDEAGMMKG?CGAKKCU,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/RLM2GBBM3KMQ3J4LX37VDLWGSWFEBBDEWD3PGNDHXHNACOOGYOBDPGU3ELE44MU2MD6JMNFXC7TXVZMQDV6WHFI=,True,other
6641734,2,Ciudad De Mexico - Cuernavaca Climb,0.0,NC,5.6,"[19.228268, -99.144761]","[19.224186, -99.139626]",61.9,1107.6,sojtBxec|Qx@~@^\lAd@h@@h@AbDWzDIjAKb@MbAa@\QV]l@_APa@tAyDZgAHc@Fe@@c@Ge@M_@aDwFg@eAGsABg@Fg@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/OPND6SBEUSFBDYULFXXJICIEAP2VCXQBGOYNEEQTINCORSLG6B5Z6I6A7IKNWBFJZNSGRQHAC7DAGLUHTXV3XRFC,True,other
